"","id","message_time","day","hdop","hdop2","historical","hour","latitude","longitude","minute","month","second","siv","fix_time","year"
"128","eui-70b3d57ed005bd07","2023-05-04T14:19:41.832809597Z","4","119","1.19","0","14",46.83361,8.18306,"19","5","8","9","203","23"
"129","eui-70b3d57ed005bd07","2023-05-04T14:16:03.269506140Z","4","112","1.12","0","14",46.83352,8.18294,"16","5","0","8","96","23"
"130","eui-70b3d57ed005bd07","2023-05-04T14:14:11.683045254Z","4","122","1.22","0","14",46.83356,8.18285,"14","5","2","7","70","23"
"131","eui-70b3d57ed005bd07","2023-05-04T14:12:46.100591895Z","4","126","1.26","0","14",46.83324,8.18293,"12","5","8","6","19","23"
"132","eui-70b3d57ed005bd07","2023-05-04T14:12:11.523769892Z","4","146","1.46","0","14",46.8336,8.18259,"12","5","2","5","42","23"
"133","eui-70b3d57ed005bd07","2023-05-04T14:11:13.962704656Z","4","213","4.69","0","14",46.8343,8.18314,"11","5","2","4","17","23"
"134","eui-70b3d57ed005bd07","2023-05-04T14:10:41.383804631Z","4","214","2.14","0","14",46.83332,8.18263,"10","5","7","3","23","23"
"135","eui-70b3d57ed005bd07","2023-05-04T14:10:02.808260094Z","4","112","1.12","0","14",46.83351,8.18279,"10","5","0","9","103","23"
"136","eui-70b3d57ed005bd07","2023-05-04T14:08:04.234854806Z","4","128","1.28","0","14",46.83318,8.18284,"8","5","0","8","46","23"
"137","eui-70b3d57ed005bd07","2023-05-04T14:07:02.648467381Z","4","154","1.54","0","14",46.83335,8.18257,"7","5","0","7","95","23"
"138","eui-70b3d57ed005bd07","2023-05-04T14:05:12.069342281Z","4","122","1.22","0","14",46.8336,8.18281,"5","5","2","7","44","23"
"139","eui-70b3d57ed005bd07","2023-05-04T14:04:12.528132998Z","4","130","1.3","0","14",46.83347,8.18271,"4","5","2","6","26","23"
"140","eui-70b3d57ed005bd07","2023-05-04T14:03:30.925051445Z","4","161","1.61","0","14",46.83301,8.18206,"3","5","5","4","31","23"
"141","eui-70b3d57ed005bd07","2023-05-04T14:02:44.353490988Z","4","190","1.9","0","14",46.83274,8.18154,"2","5","8","5","17","23"
"142","eui-70b3d57ed005bd07","2023-05-04T14:02:11.800708139Z","4","97","0.97","0","14",46.83345,8.1829,"2","5","2","10","74","23"
"143","eui-70b3d57ed005bd07","2023-05-04T14:00:42.207016107Z","4","104","1.04","0","14",46.83348,8.18284,"0","5","8","8","75","23"
"144","eui-70b3d57ed005bd07","2023-05-04T13:59:11.615156242Z","4","114","1.14","0","13",46.83352,8.18284,"59","5","2","7","74","23"
"145","eui-70b3d57ed005bd07","2023-05-04T13:57:42.041085683Z","4","135","1.35","0","13",46.83351,8.18308,"57","5","8","6","43","23"
"146","eui-70b3d57ed005bd07","2023-05-04T13:56:43.456935669Z","4","133","1.33","0","13",46.83359,8.18292,"56","5","8","6","30","23"
"147","eui-70b3d57ed005bd07","2023-05-04T13:55:57.880236093Z","4","160","1.6","0","13",46.83364,8.18315,"55","5","11","4","27","23"
"148","eui-70b3d57ed005bd07","2023-05-04T13:55:15.314919157Z","4","172","1.72","0","13",46.83385,8.18315,"55","5","2","6","18","23"
"149","eui-70b3d57ed005bd07","2023-05-04T13:54:41.750115547Z","4","101","1.01","0","13",46.83339,8.18299,"54","5","8","9","83","23"
"150","eui-70b3d57ed005bd07","2023-05-04T13:53:03.155062943Z","4","121","1.21","0","13",46.83342,8.18284,"53","5","0","8","51","23"
"151","eui-70b3d57ed005bd07","2023-05-04T13:51:56.587155705Z","4","130","1.3","0","13",46.8335,8.18294,"51","5","11","7","55","23"
"152","eui-70b3d57ed005bd07","2023-05-04T13:50:46.000064256Z","4","139","1.39","0","13",46.83346,8.18276,"50","5","8","6","27","23"
"153","eui-70b3d57ed005bd07","2023-05-04T13:50:03.428663911Z","4","145","1.45","0","13",46.8335,8.18291,"50","5","0","5","87","23"
"154","eui-70b3d57ed005bd07","2023-05-04T13:48:20.864918091Z","4","119","3.75","0","13",46.83384,8.18248,"48","5","3","4","22","23"
"155","eui-70b3d57ed005bd07","2023-05-04T13:47:43.277134892Z","4","147","1.47","0","13",46.8335,8.18286,"47","5","8","5","16","23"
"156","eui-70b3d57ed005bd07","2023-05-04T13:47:11.724973071Z","4","108","1.08","0","13",46.83348,8.18286,"47","5","2","9","134","23"
"157","eui-70b3d57ed005bd07","2023-05-04T13:44:42.139518369Z","4","148","1.48","0","13",46.83341,8.18271,"44","5","8","8","105","23"
"158","eui-70b3d57ed005bd07","2023-05-04T13:42:41.547106315Z","4","186","1.86","0","13",46.83356,8.183,"42","5","8","7","42","23"
"159","eui-70b3d57ed005bd07","2023-05-04T13:41:43.974777604Z","4","196","1.96","0","13",46.8341,8.18362,"41","5","8","6","18","23"
"160","eui-70b3d57ed005bd07","2023-05-04T13:41:10.402111246Z","4","208","2.08","0","13",46.83342,8.18277,"41","5","1","5","26","23"
"161","eui-70b3d57ed005bd07","2023-05-04T13:40:28.834311956Z","4","208","2.08","0","13",46.83386,8.18342,"40","5","5","5","17","23"
"162","eui-70b3d57ed005bd07","2023-05-04T13:39:56.240851690Z","4","209","2.09","0","13",46.83348,8.18275,"39","5","10","5","20","23"
"163","eui-70b3d57ed005bd07","2023-05-04T13:39:20.663503886Z","4","110","1.1","0","13",46.8336,8.18303,"39","5","3","9","113","23"
"164","eui-70b3d57ed005bd07","2023-05-04T13:37:12.112560339Z","4","151","1.51","0","13",46.8335,8.18287,"37","5","2","8","37","23"
"165","eui-70b3d57ed005bd07","2023-05-04T13:36:19.506204137Z","4","191","1.91","0","13",46.83371,8.18318,"36","5","3","7","22","23"
"166","eui-70b3d57ed005bd07","2023-05-04T13:35:41.934139569Z","4","220","2.2","0","13",46.83363,8.18303,"35","5","8","6","16","23"
"167","eui-70b3d57ed005bd07","2023-05-04T13:35:10.369848288Z","4","216","2.16","0","13",46.83356,8.1829,"35","5","1","5","35","23"
"168","eui-70b3d57ed005bd07","2023-05-04T13:34:19.795695898Z","4","242","2.42","0","13",46.83353,8.18284,"34","5","3","4","21","23"
"169","eui-70b3d57ed005bd07","2023-05-04T13:33:43.206194969Z","4","172","1.72","0","13",46.83355,8.18303,"33","5","8","7","16","23"
"170","eui-70b3d57ed005bd07","2023-05-04T13:33:11.640456899Z","4","102","1.02","0","13",46.83347,8.18286,"33","5","2","10","164","23"
"171","eui-70b3d57ed005bd07","2023-05-04T13:30:12.070540176Z","4","115","1.15","0","13",46.83343,8.18273,"30","5","2","8","44","23"
"172","eui-70b3d57ed005bd07","2023-05-04T13:29:12.494236192Z","4","102","1.02","0","13",46.83352,8.18289,"29","5","2","8","35","23"
"173","eui-70b3d57ed005bd07","2023-05-04T13:28:21.913607470Z","4","137","1.37","0","13",46.83354,8.18295,"28","5","4","6","40","23"
"174","eui-70b3d57ed005bd07","2023-05-04T13:27:26.328180913Z","4","182","1.82","0","13",46.83354,8.18286,"27","5","4","5","17","23"
"175","eui-70b3d57ed005bd07","2023-05-04T13:26:53.756172973Z","4","185","1.85","0","13",46.83352,8.1829,"26","5","10","4","14","23"
"176","eui-70b3d57ed005bd07","2023-05-04T13:26:24.189580583Z","4","186","1.86","0","13",46.83348,8.1828,"26","5","4","4","21","23"
"177","eui-70b3d57ed005bd07","2023-05-04T13:25:47.614642909Z","4","115","1.15","0","13",46.83363,8.18312,"25","5","9","9","80","23"
"178","eui-70b3d57ed005bd07","2023-05-04T13:24:12.028343341Z","4","125","1.25","0","13",46.83354,8.18287,"24","5","2","8","47","23"
"179","eui-70b3d57ed005bd07","2023-05-04T13:23:09.448732468Z","4","133","1.33","0","13",46.8335,8.18295,"23","5","1","7","39","23"
"180","eui-70b3d57ed005bd07","2023-05-04T13:22:14.871101795Z","4","130","1.3","0","13",46.8335,8.18288,"22","5","2","6","19","23"
"181","eui-70b3d57ed005bd07","2023-05-04T13:21:40.306683009Z","4","142","1.42","0","13",46.83324,8.18223,"21","5","7","5","22","23"
"182","eui-70b3d57ed005bd07","2023-05-04T13:21:02.723954509Z","4","191","1.91","0","13",46.83352,8.18284,"21","5","0","4","23","23"
"183","eui-70b3d57ed005bd07","2023-05-04T13:20:24.143965902Z","4","192","1.92","0","13",46.83356,8.18302,"20","5","4","4","18","23"
"184","eui-70b3d57ed005bd07","2023-05-04T13:19:50.563423205Z","4","115","1.15","0","13",46.83349,8.18287,"19","5","9","9","38","23"
"185","eui-70b3d57ed005bd07","2023-05-04T13:18:56.996361307Z","4","114","1.14","0","13",46.8336,8.18301,"18","5","11","8","38","23"
"186","eui-70b3d57ed005bd07","2023-05-04T13:18:03.430868310Z","4","126","1.26","0","13",46.83364,8.18293,"18","5","0","7","36","23"
"187","eui-70b3d57ed005bd07","2023-05-04T13:17:11.843697664Z","4","132","1.32","0","13",46.83358,8.18296,"17","5","2","6","26","23"
"188","eui-70b3d57ed005bd07","2023-05-04T13:16:30.261329963Z","4","146","1.46","0","13",46.83358,8.18298,"16","5","5","5","23","23"
"189","eui-70b3d57ed005bd07","2023-05-04T13:15:51.701735798Z","4","157","1.57","0","13",46.83353,8.18276,"15","5","10","4","20","23"
